type typecode name_p address province city area lat lng telephone tag
公司企业;公司;公司 170200 平顶山市电业局 湛河南路与新华路交叉口 河南省 平顶山市 湛河区 113.319649 33.726775 0375-2765222 []
公司企业;公司;公司 170200 国家电网平高集团有限公司 湛南路 河南省 平顶山市 湛河区 113.313293 33.720044 [] []
公司企业;公司;公司 170200 新万方电气技术服务有限公司 沁园西路2号 河南省 平顶山市 湛河区 113.334125 33.721687 0375-3995606;0375-3656098 []
公司企业;公司;建筑公司 170202 平顶山中亚路桥公司 新华路与新南环路交叉口西南100米 河南省 平顶山市 湛河区 113.319787 33.708860 [] []
公司企业;公司;商业贸易 170207 天之源商贸 凌云路西150米 河南省 平顶山市 新华区 113.279226 33.748778 [] []
公司企业;公司;机械电子 170204 平顶山煤矿机械有限责任公司(姚电大道) 姚电大道 河南省 平顶山市 湛河区 113.276103 33.722860 [] []
公司企业;公司;公司 170200 平顶山市华辰供电有限公司 建设路834附8号 河南省 平顶山市 卫东区 113.349797 33.733911 0375-3662066 []
公司企业;公司;公司 170200 宏基房地产开发有限公司(宏图路) 宏图路与湖光路交叉口东50米 河南省 平顶山市 新华区 113.186865 33.764933 [] []
公司企业;公司;公司 170200 海平电气 开源路和新南环路 河南省 平顶山市 湛河区 113.308971 33.707241 [] []
公司企业;公司;公司 170200 常绿集团 祥云路 河南省 平顶山市 新华区 113.180479 33.767762 [] []
公司企业;公司;公司 170200 河南亿嘉集团 236省道北100米 河南省 平顶山市 新华区 113.243776 33.767004 0375-2089999;0375-2260932 []
公司企业;公司;公司 170200 平顶山市公共交通总公司 中兴路与南环路交叉口东北100米 河南省 平顶山市 湛河区 113.304580 33.720814 0375-2233852;15637577333 []
公司企业;公司;建筑公司 170202 中建二局土木公司 中兴路与鹰翔路交叉口南100米 河南省 平顶山市 湛河区 113.304854 33.723774 0375-4830601 []
公司企业;公司;公司|体育休闲服务;休闲场所;休闲场所 170200|080500 中国平煤神马能源化工集团有限责任公司矿工俱乐部 体育路与矿工路交叉口北100米路西 河南省 平顶山市 新华区 113.303729 33.745938 0375-2729423;0375-7050119 []
公司企业;公司;公司 170200 华辰电力集团 建设路739号 河南省 平顶山市 卫东区 113.379747 33.732402 [] []
公司企业;公司;公司 170200 平顶山市市政工程公司 中兴北路 河南省 平顶山市 新华区 113.305816 33.732846 [] []
公司企业;农林牧渔基地;其它农林牧渔基地 170400 叶县畜牧场 [] 河南省 平顶山市 叶县 113.214222 33.464913 [] []
公司企业;公司;公司 170200 新城水务 和谐路与清风路交叉口西150米 河南省 平顶山市 新华区 113.195651 33.770160 [] []
公司企业;公司;网络科技 170206 亿鹰科技 凌云路建设路交叉口西北角九九绿墅园二期16号楼1楼东户 河南省 平顶山市 新华区 113.280783 33.741080 0375-2996668;0375-2936668 []
公司企业;公司企业;公司企业 170000 河南筷子国际旅行社有限公司平顶山分公司 八中南街东段路南红枣世家三楼 河南省 平顶山市 新华区 113.307312 33.732076 0375-2390333 []
公司企业;公司;公司 170200 平顶山市电业局 湛河南路与新华路交叉口 河南省 平顶山市 湛河区 113.319649 33.726775 0375-2765222 []
公司企业;公司;公司 170200 国家电网平高集团有限公司 湛南路 河南省 平顶山市 湛河区 113.313293 33.720044 [] []
公司企业;公司;公司 170200 新万方电气技术服务有限公司 沁园西路2号 河南省 平顶山市 湛河区 113.334125 33.721687 0375-3995606;0375-3656098 []
公司企业;公司;建筑公司 170202 平顶山中亚路桥公司 新华路与新南环路交叉口西南100米 河南省 平顶山市 湛河区 113.319787 33.708860 [] []
公司企业;公司;商业贸易 170207 天之源商贸 凌云路西150米 河南省 平顶山市 新华区 113.279226 33.748778 [] []
