type typecode name_p address province city area lat lng telephone tag
购物服务;专卖店;自行车专卖店|摩托车服务;摩托车维修;摩托车维修 061208|040200 金箭电动车 高阳路街道开发二路高阳小区西门 河南省 平顶山市 卫东区 113.372400 33.721927 15937585060 []
摩托车服务;摩托车服务相关;摩托车服务相关 040000 英伟机车修理摩托车电动车 开源路与曙光街(八中南街)交叉口往南100米路西 河南省 平顶山市 新华区 113.308439 33.731421 13503418812 []
摩托车服务;摩托车维修;摩托车维修 040200 小武电动车摩托车维修 平安大道南50米 河南省 平顶山市 新华区 113.274828 33.757266 [] []
摩托车服务;摩托车维修;摩托车维修 040200 清风车行 开源路与湛北路交叉口西50米路南 河南省 平顶山市 湛河区 113.310399 33.727752 [] []
摩托车服务;摩托车服务相关;摩托车服务相关 040000 小超摩托车电动车修配 矿工路183-附6 河南省 平顶山市 卫东区 113.313962 33.740562 [] []
摩托车服务;摩托车维修;摩托车维修 040200 摩托之家 湛河南路与西苑东路交叉口东150米 河南省 平顶山市 湛河区 113.287963 33.729056 13803901198;18903901198 []
摩托车服务;摩托车销售;摩托车销售 040100 强富摩托车商行 开源路建设路交叉口南50米路东 河南省 平顶山市 新华区 113.309184 33.735502 [] []
摩托车服务;摩托车服务相关;摩托车服务相关 040000 旺达摩配(开源路) 开源路豆制品厂92号楼 河南省 平顶山市 新华区 113.308336 33.731510 [] []
摩托车服务;摩托车维修;摩托车维修 040200 建大轮胎 矿工路90附1附近 河南省 平顶山市 卫东区 113.341945 33.740681 13781893125 []
摩托车服务;摩托车维修;摩托车维修 040200 富康电动车摩托车维修部 东环路与十矿家属区北路交叉口西北50米 河南省 平顶山市 卫东区 113.348679 33.745923 18337500018 []
摩托车服务;摩托车销售;摩托车销售 040100 平顶山金帅摩托车行 凌云路与平安大道交汇处向东100米路南 河南省 平顶山市 新华区 113.282238 33.754985 [] []
摩托车服务;摩托车服务相关;摩托车服务相关 040000 隆鑫摩配总汇 南环路南50米 河南省 平顶山市 湛河区 113.293870 33.721337 0375-3416519 []
摩托车服务;摩托车服务相关;摩托车服务相关 040000 精修摩托车行 湛南路韦伦双语学校对面 河南省 平顶山市 湛河区 113.310256 33.727767 [] []
摩托车服务;摩托车维修;摩托车维修 040200 诚信电动车摩托车修理 劳动路61附5号附近 河南省 平顶山市 卫东区 113.313642 33.737434 [] []
摩托车服务;摩托车维修;摩托车维修 040200 摩托修配 新华路283-1号附近 河南省 平顶山市 卫东区 113.322236 33.731714 [] []
摩托车服务;摩托车服务相关;摩托车服务相关 040000 东强摩托电动车修配 南环路街道新华路与神马大道交叉口东150米 河南省 平顶山市 湛河区 113.322040 33.719024 [] []
摩托车服务;摩托车维修;摩托车维修 040200 精修电动车摩托车 平安大道与总库路交叉口西150米 河南省 平顶山市 卫东区 113.327456 33.749396 [] []
摩托车服务;摩托车维修;摩托车维修 040200 精修摩托车电动车 东安路68号附近 河南省 平顶山市 卫东区 113.335732 33.743400 [] []
摩托车服务;摩托车维修;摩托车维修 040200 修摩托车电动车 东环路166附2号附近 河南省 平顶山市 卫东区 113.350201 33.738944 [] []
摩托车服务;摩托车维修;摩托车维修 040200 电动车摩托车维修 开源路与平安大道交叉口 河南省 平顶山市 卫东区 113.310478 33.747709 [] []
购物服务;专卖店;自行车专卖店|摩托车服务;摩托车维修;摩托车维修 061208|040200 金箭电动车 高阳路街道开发二路高阳小区西门 河南省 平顶山市 卫东区 113.372400 33.721927 15937585060 []
摩托车服务;摩托车服务相关;摩托车服务相关 040000 英伟机车修理摩托车电动车 开源路与曙光街(八中南街)交叉口往南100米路西 河南省 平顶山市 新华区 113.308439 33.731421 13503418812 []
摩托车服务;摩托车维修;摩托车维修 040200 小武电动车摩托车维修 平安大道南50米 河南省 平顶山市 新华区 113.274828 33.757266 [] []
摩托车服务;摩托车维修;摩托车维修 040200 清风车行 开源路与湛北路交叉口西50米路南 河南省 平顶山市 湛河区 113.310399 33.727752 [] []
摩托车服务;摩托车服务相关;摩托车服务相关 040000 小超摩托车电动车修配 矿工路183-附6 河南省 平顶山市 卫东区 113.313962 33.740562 [] []
摩托车服务;摩托车维修;摩托车维修 040200 摩托之家 湛河南路与西苑东路交叉口东150米 河南省 平顶山市 湛河区 113.287963 33.729056 13803901198;18903901198 []
摩托车服务;摩托车销售;摩托车销售 040100 强富摩托车商行 开源路建设路交叉口南50米路东 河南省 平顶山市 新华区 113.309184 33.735502 [] []
摩托车服务;摩托车服务相关;摩托车服务相关 040000 旺达摩配(开源路) 开源路豆制品厂92号楼 河南省 平顶山市 新华区 113.308336 33.731510 [] []
摩托车服务;摩托车维修;摩托车维修 040200 建大轮胎 矿工路90附1附近 河南省 平顶山市 卫东区 113.341945 33.740681 13781893125 []
摩托车服务;摩托车维修;摩托车维修 040200 富康电动车摩托车维修部 东环路与十矿家属区北路交叉口西北50米 河南省 平顶山市 卫东区 113.348679 33.745923 18337500018 []
摩托车服务;摩托车销售;摩托车销售 040100 平顶山金帅摩托车行 凌云路与平安大道交汇处向东100米路南 河南省 平顶山市 新华区 113.282238 33.754985 [] []
摩托车服务;摩托车服务相关;摩托车服务相关 040000 隆鑫摩配总汇 南环路南50米 河南省 平顶山市 湛河区 113.293870 33.721337 0375-3416519 []
摩托车服务;摩托车服务相关;摩托车服务相关 040000 精修摩托车行 湛南路韦伦双语学校对面 河南省 平顶山市 湛河区 113.310256 33.727767 [] []
摩托车服务;摩托车维修;摩托车维修 040200 诚信电动车摩托车修理 劳动路61附5号附近 河南省 平顶山市 卫东区 113.313642 33.737434 [] []
