type typecode name_p address province city area lat lng telephone tag
汽车服务;汽车养护/装饰;汽车养护 010400 车之秀汽车美容 安国路与广成东路交叉口东北100米 河南省 平顶山市 汝州市 112.860993 34.169297 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 翔翔汽车美容装饰 平安大道南50米 河南省 平顶山市 卫东区 113.341340 33.749359 15886701217 []
汽车服务;汽车养护/装饰;汽车养护 010400 飞鹏汽车美容护理中心(朝阳西路) 朝阳西路133号 河南省 平顶山市 汝州市 112.834264 34.182231 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 万举汽车美容中心 兴华路65号附近 河南省 平顶山市 宝丰县 113.051388 33.871342 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 昌顺汽车美容装饰 兴华路57号附近 河南省 平顶山市 宝丰县 113.051059 33.872261 15093784777 []
汽车服务;汽车养护/装饰;汽车养护 010400 美车会汽车服务 体育路与平安大道交叉口西150米路南 河南省 平顶山市 新华区 113.302913 33.749070 0375-3595688;0375-7092718 []
汽车服务;汽车养护/装饰;汽车养护 010400 梅特莱斯汽车美容养护中心(宝丰总店) 迎宾大道北150米 河南省 平顶山市 宝丰县 113.050217 33.863926 15038836106 []
汽车服务;汽车养护/装饰;汽车养护 010400 车吧汽车美容装饰(朝阳中路) 朝阳中路173号 河南省 平顶山市 汝州市 112.847353 34.179620 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 旭日汽车装饰美容中心 人民路民生家园(鲁山县缫丝厂东南) 河南省 平顶山市 鲁山县 112.921757 33.750148 15938971258 []
汽车服务;汽车养护/装饰;汽车养护 010400 鸿途汽车美容中心 环镇路南50米 河南省 平顶山市 鲁山县 112.689460 33.723877 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 车博士汽车美容装饰行 环镇路东50米 河南省 平顶山市 鲁山县 112.690871 33.723255 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 好友汽车专业装饰美容 城关镇西环路国家电网北 河南省 平顶山市 宝丰县 113.050355 33.864803 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 洗车人家汽车美容(建兴街) 建兴街158号 河南省 平顶山市 汝州市 112.853537 34.177350 15603751996 []
汽车服务;汽车养护/装饰;汽车养护 010400 完美汽车美容(叶县教育体育局东北) 311国道东50米 河南省 平顶山市 叶县 113.363985 33.638317 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 兴兴汽车美容装饰 迎宾大道与220省道交叉口南100米 河南省 平顶山市 舞钢市 113.596961 33.380091 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 保车夫汽车服务 西环路东来顺大盘鸡隔壁 河南省 平顶山市 汝州市 112.830077 34.161245 0375-7322221;18703638343 []
汽车服务;汽车养护/装饰;汽车养护 010400 车之易汽车美容会所 西环路144号附近 河南省 平顶山市 汝州市 112.830319 34.160015 13937526736 []
汽车服务;汽车养护/装饰;汽车养护 010400 车管家汽车美容会所(迎宾大道) 迎宾大道南100米 河南省 平顶山市 宝丰县 113.053783 33.861843 15639981230;18503973188 []
汽车服务;汽车养护/装饰;汽车养护 010400 香车驿站汽车美容装饰快修会所 西环路879号 河南省 平顶山市 汝州市 112.834056 34.185408 13603751717;15803759983 []
汽车服务;汽车养护/装饰;汽车养护 010400 喜刷刷汽车美容一站式服务 东关桥头南五十米路东 河南省 平顶山市 汝州市 112.851922 34.157934 15516045888;18317686532 []
汽车服务;汽车养护/装饰;汽车养护 010400 车之秀汽车美容 安国路与广成东路交叉口东北100米 河南省 平顶山市 汝州市 112.860993 34.169297 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 翔翔汽车美容装饰 平安大道南50米 河南省 平顶山市 卫东区 113.341340 33.749359 15886701217 []
汽车服务;汽车养护/装饰;汽车养护 010400 飞鹏汽车美容护理中心(朝阳西路) 朝阳西路133号 河南省 平顶山市 汝州市 112.834264 34.182231 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 万举汽车美容中心 兴华路65号附近 河南省 平顶山市 宝丰县 113.051388 33.871342 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 昌顺汽车美容装饰 兴华路57号附近 河南省 平顶山市 宝丰县 113.051059 33.872261 15093784777 []
汽车服务;汽车养护/装饰;汽车养护 010400 美车会汽车服务 体育路与平安大道交叉口西150米路南 河南省 平顶山市 新华区 113.302913 33.749070 0375-3595688;0375-7092718 []
汽车服务;汽车养护/装饰;汽车养护 010400 梅特莱斯汽车美容养护中心(宝丰总店) 迎宾大道北150米 河南省 平顶山市 宝丰县 113.050217 33.863926 15038836106 []
汽车服务;汽车养护/装饰;汽车养护 010400 车吧汽车美容装饰(朝阳中路) 朝阳中路173号 河南省 平顶山市 汝州市 112.847353 34.179620 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 旭日汽车装饰美容中心 人民路民生家园(鲁山县缫丝厂东南) 河南省 平顶山市 鲁山县 112.921757 33.750148 15938971258 []
汽车服务;汽车养护/装饰;汽车养护 010400 鸿途汽车美容中心 环镇路南50米 河南省 平顶山市 鲁山县 112.689460 33.723877 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 车博士汽车美容装饰行 环镇路东50米 河南省 平顶山市 鲁山县 112.690871 33.723255 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 好友汽车专业装饰美容 城关镇西环路国家电网北 河南省 平顶山市 宝丰县 113.050355 33.864803 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 洗车人家汽车美容(建兴街) 建兴街158号 河南省 平顶山市 汝州市 112.853537 34.177350 15603751996 []
汽车服务;汽车养护/装饰;汽车养护 010400 完美汽车美容(叶县教育体育局东北) 311国道东50米 河南省 平顶山市 叶县 113.363985 33.638317 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 兴兴汽车美容装饰 迎宾大道与220省道交叉口南100米 河南省 平顶山市 舞钢市 113.596961 33.380091 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 保车夫汽车服务 西环路东来顺大盘鸡隔壁 河南省 平顶山市 汝州市 112.830077 34.161245 0375-7322221;18703638343 []
汽车服务;汽车养护/装饰;汽车养护 010400 车之易汽车美容会所 西环路144号附近 河南省 平顶山市 汝州市 112.830319 34.160015 13937526736 []
汽车服务;汽车养护/装饰;汽车养护 010400 车管家汽车美容会所(迎宾大道) 迎宾大道南100米 河南省 平顶山市 宝丰县 113.053783 33.861843 15639981230;18503973188 []
汽车服务;汽车养护/装饰;汽车养护 010400 香车驿站汽车美容装饰快修会所 西环路879号 河南省 平顶山市 汝州市 112.834056 34.185408 13603751717;15803759983 []
汽车服务;汽车养护/装饰;汽车养护 010400 喜刷刷汽车美容一站式服务 东关桥头南五十米路东 河南省 平顶山市 汝州市 112.851922 34.157934 15516045888;18317686532 []
汽车服务;汽车养护/装饰;汽车养护 010400 双龙汽车美容装饰 东坡大道与文博路交叉口东150米 河南省 平顶山市 郏县 113.244650 33.966200 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 0375车友会汽车服务中心 凌云路北段佳田赛纳城对面 河南省 平顶山市 新华区 113.280921 33.748031 4000180375;18603750375 []
汽车服务;汽车养护/装饰;汽车养护 010400 红苹果汽车装饰美容 神马大道与开发一路交叉口飞宇汽贸城9号楼07-08 河南省 平顶山市 叶县 113.387863 33.718730 13903751030 []
汽车服务;汽车养护/装饰;汽车养护 010400 万达一站式汽车服务 238省道(农行分理处东100米) 河南省 平顶山市 汝州市 112.610555 34.260972 0375-6688777 []
汽车服务;汽车养护/装饰;汽车养护 010400 豪仕汽车美容会所 钢城路80号附近 河南省 平顶山市 舞钢市 113.532837 33.326924 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 领航汽车美容(平安大道店) 平安大道与四矿路交叉口西客运站院内 河南省 平顶山市 新华区 113.267870 33.760956 15937583361 []
汽车服务;汽车养护/装饰;汽车养护 010400 车之家汽车美容车饰广场 钢城路45号附近 河南省 平顶山市 舞钢市 113.529200 33.285049 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 中州路汽车美容 中州路东50米 河南省 平顶山市 鲁山县 112.922229 33.744804 18437529027 []
汽车服务;汽车养护/装饰;汽车养护 010400 车爵仕汽车美容装饰服务(河南鲁山店) 鲁平大道南50米 河南省 平顶山市 鲁山县 112.927965 33.735979 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 京龙汽车美容中心 207国道西50米 河南省 平顶山市 汝州市 112.915310 34.052727 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 新时代汽车美容装饰中心 241省道东50米 河南省 平顶山市 汝州市 112.921083 34.050785 13663752174 []
汽车服务;汽车养护/装饰;汽车养护 010400 名车世家汽车服务 经二路9号 河南省 平顶山市 郏县 113.226965 33.980165 18037585882;18037585883 []
汽车服务;汽车配件销售;汽车配件销售 010800 至诚汽车服务中心 中州路东50米 河南省 平顶山市 鲁山县 112.921473 33.744059 18903903114 []
汽车服务;汽车养护/装饰;汽车养护 010400 经典汽车美容装饰 城关镇人民路与西环路交叉口向南150米路东 河南省 平顶山市 宝丰县 113.050890 33.866568 15716560012 []
汽车服务;汽车养护/装饰;汽车养护 010400 青顺汽车美容装饰 平安大道东22号附近 河南省 平顶山市 卫东区 113.392931 33.749524 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 洁豪佳汽车美容 望城路与花园路交叉口东50米 河南省 平顶山市 鲁山县 112.923366 33.733624 13393777320;13393777832 []
汽车服务;汽车养护/装饰;汽车养护 010400 靓丽汽车美容装饰(014乡道) 广成西路与014乡道交叉口西100米 河南省 平顶山市 汝州市 112.800657 34.184615 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 广通汽车美容装饰中心 龙兴大道西段西50米 河南省 平顶山市 汝州市 112.696026 34.226073 15037535571 []
汽车服务;汽车养护/装饰;汽车养护 010400 e车族汽车美容装饰 北渡立交与新南环路交叉口西100米 河南省 平顶山市 湛河区 113.295243 33.709751 13183337896 []
汽车服务;汽车养护/装饰;汽车养护 010400 爱车亿族汽车美容会所(平安大道店) 平安大道中段路南吴寨村477号 河南省 平顶山市 卫东区 113.340284 33.749361 13700759957 []
汽车服务;汽车养护/装饰;汽车养护 010400 远昊汽车装饰美容养护中心 新南环路与开源路交叉口向西100米 河南省 平顶山市 湛河区 113.306094 33.709731 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 靓车一族汽车美容装饰 广成西路南50米 河南省 平顶山市 汝州市 112.804148 34.183760 15136912133 []
汽车服务;汽车养护/装饰;汽车养护 010400 远宏汽车美容装饰 广成西路南50米 河南省 平顶山市 汝州市 112.817614 34.180009 13461139863 []
汽车服务;汽车养护/装饰;汽车养护 010400 车来车往汽车美容装饰会所(上宅公馆北) 西环路西50米 河南省 平顶山市 汝州市 112.834900 34.189775 13525362617 []
汽车服务;汽车养护/装饰;汽车养护 010400 海燕汽车美容中心 中大街与238省道交叉口东南50米 河南省 平顶山市 汝州市 112.958079 34.096557 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 靓洁汽车美容装饰(洪山·福地东南) 广成西路南50米 河南省 平顶山市 汝州市 112.817377 34.180069 [] []
汽车服务;汽车养护/装饰;汽车养护 010400 士涛汽车服务中心 临汝镇临二大队对面 河南省 平顶山市 汝州市 112.611612 34.261561 13523273702;15729101836 []
汽车服务;汽车养护/装饰;汽车养护 010400 心懿汽车美容会所 广成西路与西环路交叉口往西80米路北(广成西路212号) 河南省 平顶山市 汝州市 112.829884 34.177029 0375-7675777 []
汽车服务;汽车养护/装饰;汽车养护 010400 博奥汽车美容 北环路与平安大道交叉口西150米 河南省 平顶山市 卫东区 113.400117 33.749834 [] []
