type typecode name_p address province city area lat lng telephone tag
汽车销售;汽车销售;汽车销售 020000 宝骏荣威MG(郏县直营店) 眉山大道北50米 河南省 平顶山市 郏县 113.191543 33.982144 0375-5552218;0375-5565556 []
汽车销售;汽车销售;汽车销售 020000 众志汽车展厅 241省道东50米 河南省 平顶山市 宝丰县 113.038867 33.890550 18637560677 []
汽车销售;汽车销售;汽车销售 020000 泓盛汽车城 北环路煤山客运站向北一千米路东 河南省 平顶山市 汝州市 112.838715 34.201124 0375-6059888 []
汽车销售;汽车销售;汽车销售 020000 黑豹汽车 建设路东段物资大厦1楼 河南省 平顶山市 卫东区 113.336675 33.734555 [] []
汽车销售;汽车销售;汽车销售 020000 东风悦达·起亚 眉山大道北50米 河南省 平顶山市 郏县 113.191946 33.982068 15038811609 []
汽车销售;汽车销售;汽车销售 020000 一汽奔腾江淮汽车(郏县直营店) 青龙湖洗浴东50米(238省道南) 河南省 平顶山市 郏县 113.190549 33.981887 0375-5565588;13837514108 []
汽车销售;汽车销售;汽车销售 020000 众泰汽车叶县专营店 103省道西50米 河南省 平顶山市 叶县 113.374179 33.610405 [] []
汽车销售;汽车销售;汽车销售 020000 汝州嘉成汽车销售有限公司 广成西路南50米 河南省 平顶山市 汝州市 112.811699 34.181593 [] []
汽车销售;汽车销售;汽车销售 020000 开瑞汽车舞钢隆春店 建设路与220省道交叉口西100米 河南省 平顶山市 舞钢市 113.561997 33.330465 0375-8185577;13393751685 []
汽车销售;汽车销售;汽车销售 020000 广汽传祺明行店(东方丽景东北) 103省道东50米 河南省 平顶山市 叶县 113.374301 33.609447 [] []
汽车销售;汽车销售;汽车销售 020000 河南幻速汽车销售服务有限公司 媒山街道北环路338号 河南省 平顶山市 汝州市 112.837936 34.192466 0375-6881111 []
汽车销售;汽车销售;汽车销售 020000 富达汽贸 东环路与叶舞路交叉口北300米路西 河南省 平顶山市 叶县 113.374249 33.610552 18237503369 []
汽车销售;汽车销售;汽车销售 020000 吉利汽车汝州专营店 北环路瑞源酒店正对面 河南省 平顶山市 汝州市 112.841944 34.191825 15036895559 []
汽车销售;汽车销售;汽车销售 020000 河南转动汽贸 青龙湖红绿灯东88米路北 河南省 平顶山市 郏县 113.199811 33.981947 [] []
汽车销售;汽车销售;汽车销售 020000 雪佛兰汝州新纪元店 宏翔大道与325省道交叉口东南150米 河南省 平顶山市 汝州市 112.853200 34.189001 [] []
汽车销售;汽车销售;汽车销售|汽车维修;汽车维修;汽车维修 020000|030000 长城汽车平顶山市博海专营店 建设路辅路北50米 河南省 平顶山市 卫东区 113.421389 33.731098 0375-2181666 []
汽车销售;汽车销售;汽车销售 020000 北汽威旺平顶山众通鲁山瑞通店 鲁平大道鲁山田源农机公司北200米 河南省 平顶山市 鲁山县 112.937847 33.733140 [] []
汽车销售;汽车销售;汽车销售 020000 北汽集团平顶山众通叶县店 103省道西50米 河南省 平顶山市 叶县 113.375015 33.612644 [] []
汽车销售;东风货车销售;东风货车销售 025100 东风商用车平顶山和美汝州店 广成西路北50米 河南省 平顶山市 汝州市 112.788008 34.188085 [] []
汽车维修;汽车维修;汽车维修|汽车销售;汽车销售;汽车销售 030000|020000 五菱汽车神行鲁山公司 311国道东50米 河南省 平顶山市 鲁山县 112.938362 33.731681 [] []
汽车销售;汽车销售;汽车销售 020000 宝骏荣威MG(郏县直营店) 眉山大道北50米 河南省 平顶山市 郏县 113.191543 33.982144 0375-5552218;0375-5565556 []
汽车销售;汽车销售;汽车销售 020000 众志汽车展厅 241省道东50米 河南省 平顶山市 宝丰县 113.038867 33.890550 18637560677 []
汽车销售;汽车销售;汽车销售 020000 泓盛汽车城 北环路煤山客运站向北一千米路东 河南省 平顶山市 汝州市 112.838715 34.201124 0375-6059888 []
汽车销售;汽车销售;汽车销售 020000 黑豹汽车 建设路东段物资大厦1楼 河南省 平顶山市 卫东区 113.336675 33.734555 [] []
汽车销售;汽车销售;汽车销售 020000 东风悦达·起亚 眉山大道北50米 河南省 平顶山市 郏县 113.191946 33.982068 15038811609 []
汽车销售;汽车销售;汽车销售 020000 一汽奔腾江淮汽车(郏县直营店) 青龙湖洗浴东50米(238省道南) 河南省 平顶山市 郏县 113.190549 33.981887 0375-5565588;13837514108 []
汽车销售;汽车销售;汽车销售 020000 众泰汽车叶县专营店 103省道西50米 河南省 平顶山市 叶县 113.374179 33.610405 [] []
汽车销售;汽车销售;汽车销售 020000 汝州嘉成汽车销售有限公司 广成西路南50米 河南省 平顶山市 汝州市 112.811699 34.181593 [] []
汽车销售;汽车销售;汽车销售 020000 开瑞汽车舞钢隆春店 建设路与220省道交叉口西100米 河南省 平顶山市 舞钢市 113.561997 33.330465 0375-8185577;13393751685 []
汽车销售;汽车销售;汽车销售 020000 广汽传祺明行店(东方丽景东北) 103省道东50米 河南省 平顶山市 叶县 113.374301 33.609447 [] []
汽车销售;汽车销售;汽车销售 020000 河南幻速汽车销售服务有限公司 媒山街道北环路338号 河南省 平顶山市 汝州市 112.837936 34.192466 0375-6881111 []
汽车销售;汽车销售;汽车销售 020000 富达汽贸 东环路与叶舞路交叉口北300米路西 河南省 平顶山市 叶县 113.374249 33.610552 18237503369 []
汽车销售;汽车销售;汽车销售 020000 吉利汽车汝州专营店 北环路瑞源酒店正对面 河南省 平顶山市 汝州市 112.841944 34.191825 15036895559 []
汽车销售;汽车销售;汽车销售 020000 河南转动汽贸 青龙湖红绿灯东88米路北 河南省 平顶山市 郏县 113.199811 33.981947 [] []
汽车销售;汽车销售;汽车销售 020000 雪佛兰汝州新纪元店 宏翔大道与325省道交叉口东南150米 河南省 平顶山市 汝州市 112.853200 34.189001 [] []
汽车销售;汽车销售;汽车销售|汽车维修;汽车维修;汽车维修 020000|030000 长城汽车平顶山市博海专营店 建设路辅路北50米 河南省 平顶山市 卫东区 113.421389 33.731098 0375-2181666 []
汽车销售;汽车销售;汽车销售 020000 北汽威旺平顶山众通鲁山瑞通店 鲁平大道鲁山田源农机公司北200米 河南省 平顶山市 鲁山县 112.937847 33.733140 [] []
汽车销售;汽车销售;汽车销售 020000 北汽集团平顶山众通叶县店 103省道西50米 河南省 平顶山市 叶县 113.375015 33.612644 [] []
汽车销售;东风货车销售;东风货车销售 025100 东风商用车平顶山和美汝州店 广成西路北50米 河南省 平顶山市 汝州市 112.788008 34.188085 [] []
汽车维修;汽车维修;汽车维修|汽车销售;汽车销售;汽车销售 030000|020000 五菱汽车神行鲁山公司 311国道东50米 河南省 平顶山市 鲁山县 112.938362 33.731681 [] []
