type typecode name_p address province city area lat lng telephone tag
科教文化服务;学校;高等院校 141201 平顶山学院 未来路南段 河南省 平顶山市 新华区 113.209784 33.746716 0375-2077219 []
医疗保健服务;综合医院;综合医院 090100 平顶山市中医医院 中兴路北段4号院 河南省 平顶山市 新华区 113.304966 33.742647 0375-2972648;0375-2972661 []
科教文化服务;学校;职业技术学校 141206 河南质量工程职业学院 姚电大道56号 河南省 平顶山市 湛河区 113.291114 33.712452 [] []
科教文化服务;学校;中学 141202 平顶山市一高 矿工路170号 河南省 平顶山市 卫东区 113.321704 33.743264 [] []
医疗保健服务;医药保健销售店;药房 090601 平价大药房 人民路和健康路的交叉口附近 河南省 平顶山市 鲁山县 112.907184 33.746131 [] []
医疗保健服务;综合医院;卫生院 090102 辛集村卫生室 七夕路附近 河南省 平顶山市 鲁山县 113.003958 33.786728 [] []
生活服务;电讯营业厅;中国联通营业厅 070604 中国联通(冠杰手机城) 紫云路 河南省 平顶山市 郏县 113.315757 33.897258 [] []
生活服务;洗衣店;洗衣店 071500 专业织补 经二路72号附近 河南省 平顶山市 郏县 113.226525 33.978683 13569579518 []
生活服务;电讯营业厅;中国联通营业厅 070604 中国联通 十二矿路 河南省 平顶山市 卫东区 113.386171 33.754820 [] []
医疗保健服务;医药保健销售店;药房 090601 康春大药房(十三店) 昆阳大道165号附近 河南省 平顶山市 叶县 113.355068 33.616338 [] []
医疗保健服务;综合医院;综合医院 090100 康明医院住院部 迎宾大道266号附近 河南省 平顶山市 宝丰县 113.059110 33.861824 [] []
科教文化服务;学校;幼儿园 141204 益智启蒙亲子园 人民路7号附近 河南省 平顶山市 宝丰县 113.059981 33.866354 [] []
生活服务;洗衣店;洗衣店 071500 美国UCC国际洗衣(中兴路店) 华联百货东步行街口 河南省 平顶山市 郏县 113.230143 33.966327 [] []
医疗保健服务;医药保健销售店;药房 090601 信心大药房 建业购物广场西门 河南省 平顶山市 叶县 113.362675 33.618146 [] []
生活服务;电讯营业厅;中国电信营业厅 070601 中国电信(阳光连锁旗舰店) 朱兰大道矿山酒店对面 河南省 平顶山市 舞钢市 113.532930 33.325016 [] []
医疗保健服务;医药保健销售店;药房 090601 华佗国药力源酒叶县经销处 中心街与昆阳大道交叉口南100米 河南省 平顶山市 叶县 113.356655 33.619032 [] []
医疗保健服务;医药保健销售店;药房 090601 鲁山开心大药房(五里堡店) 人民路北50米 河南省 平顶山市 鲁山县 112.934335 33.753592 [] []
生活服务;电讯营业厅;中国联通营业厅 070604 新东建材联通营业厅 平安大道北50米 河南省 平顶山市 卫东区 113.336777 33.749855 [] []
生活服务;洗衣店;洗衣店 071500 奥维斯特洗衣(曙光街) 中兴路与矿工路交叉口东北50米 河南省 平顶山市 新华区 113.307022 33.744839 0375-2689399 []
医疗保健服务;医药保健销售店;药房 090601 康春大药房 辛店街42号附近 河南省 平顶山市 叶县 113.380494 33.412399 [] []
科教文化服务;学校;高等院校 141201 平顶山学院 未来路南段 河南省 平顶山市 新华区 113.209784 33.746716 0375-2077219 []
医疗保健服务;综合医院;综合医院 090100 平顶山市中医医院 中兴路北段4号院 河南省 平顶山市 新华区 113.304966 33.742647 0375-2972648;0375-2972661 []
科教文化服务;学校;职业技术学校 141206 河南质量工程职业学院 姚电大道56号 河南省 平顶山市 湛河区 113.291114 33.712452 [] []
科教文化服务;学校;中学 141202 平顶山市一高 矿工路170号 河南省 平顶山市 卫东区 113.321704 33.743264 [] []
