type typecode name_p address province city area lat lng telephone tag
风景名胜;风景名胜;国家级景点 110202 尧山风景区 尧山镇西竹园村 河南省 平顶山市 鲁山县 112.307785 33.708246 0375-5791123;0375-5767999 []
风景名胜;风景名胜;国家级景点 110202 画眉谷 尧山镇四道河村 河南省 平顶山市 鲁山县 112.309941 33.797126 [] []
风景名胜;风景名胜;国家级景点 110202 中原大佛文化圣地 赵村乡上汤村 河南省 平顶山市 鲁山县 112.459498 33.764994 0375-5767999;0375-5760999 []
风景名胜;风景名胜;风景名胜 110200 石漫滩国家森林公园 龙泉路附近 河南省 平顶山市 舞钢市 113.534835 33.269695 0375-8122577 []
风景名胜;风景名胜;风景名胜 110200 叶县县衙 东大街9 河南省 平顶山市 叶县 113.351065 33.621321 0375-3436888 []
风景名胜;风景名胜;省级景点 110203 昭平湖景区 昭平台库区乡 河南省 平顶山市 鲁山县 112.750412 33.741496 [] []
风景名胜;风景名胜;省级景点 110203 怪坡风景区 骑岭乡风穴寺国家森林公园内 河南省 平顶山市 汝州市 112.910921 34.244409 0375-6971866 []
风景名胜;风景名胜;风景名胜 110200 秘洞 四棵树乡车场 河南省 平顶山市 鲁山县 112.542463 33.619740 0375-5681221;0375-5681502 []
风景名胜;风景名胜;风景名胜 110200 龙潭峡风景区 尧山镇上坪村 河南省 平顶山市 鲁山县 112.336854 33.702435 0375-5786318 []
风景名胜;风景名胜;省级景点 110203 好运谷 尧山镇四道河村 河南省 平顶山市 鲁山县 112.342767 33.781934 0375-5784888;0375-5784418 []
风景名胜;公园广场;城市广场 110105 鹰城广场 长青路中段 河南省 平顶山市 新华区 113.288982 33.740055 [] []
风景名胜;风景名胜相关;旅游景点 110000 钟楼 中大街 河南省 平顶山市 汝州市 112.849229 34.161475 [] []
风景名胜;公园广场;植物园 110103 平顶山市植物园 湛河南路72号 河南省 平顶山市 湛河区 113.296757 33.727032 0375-4960014 []
风景名胜;风景名胜;国家级景点 110202 二郎山 石漫滩水库南岸 河南省 平顶山市 舞钢市 113.56675 33.260672 0375-8185898 []
风景名胜;风景名胜;教堂 110206 基督教堂 329省道 河南省 平顶山市 宝丰县 112.940018 33.907582 [] []
风景名胜;风景名胜;国家级景点 110202 鲁山航空展览馆 陈楼村南侧 河南省 平顶山市 鲁山县 112.889130 33.668817 [] []
风景名胜;风景名胜;省级景点 110203 三苏坟 茨芭镇苏坟村 河南省 平顶山市 郏县 113.098860 34.078329 [] []
风景名胜;风景名胜;寺庙道观 110205 郏县文庙 文前街38 河南省 平顶山市 郏县 113.214837 33.967473 [] []
风景名胜;公园广场;公园 110101 煤山公园 西环路535号 河南省 平顶山市 汝州市 112.831996 34.174163 [] []
风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜 110101|110200 文笔山森林公园 文峰路南100米 河南省 平顶山市 宝丰县 113.069036 33.850865 [] []
风景名胜;风景名胜;国家级景点 110202 尧山风景区 尧山镇西竹园村 河南省 平顶山市 鲁山县 112.307785 33.708246 0375-5791123;0375-5767999 []
风景名胜;风景名胜;国家级景点 110202 画眉谷 尧山镇四道河村 河南省 平顶山市 鲁山县 112.309941 33.797126 [] []
风景名胜;风景名胜;国家级景点 110202 中原大佛文化圣地 赵村乡上汤村 河南省 平顶山市 鲁山县 112.459498 33.764994 0375-5767999;0375-5760999 []
风景名胜;风景名胜;风景名胜 110200 石漫滩国家森林公园 龙泉路附近 河南省 平顶山市 舞钢市 113.534835 33.269695 0375-8122577 []
风景名胜;风景名胜;风景名胜 110200 叶县县衙 东大街9 河南省 平顶山市 叶县 113.351065 33.621321 0375-3436888 []
风景名胜;风景名胜;省级景点 110203 昭平湖景区 昭平台库区乡 河南省 平顶山市 鲁山县 112.750412 33.741496 [] []
风景名胜;风景名胜;省级景点 110203 怪坡风景区 骑岭乡风穴寺国家森林公园内 河南省 平顶山市 汝州市 112.910921 34.244409 0375-6971866 []
风景名胜;风景名胜;风景名胜 110200 秘洞 四棵树乡车场 河南省 平顶山市 鲁山县 112.542463 33.619740 0375-5681221;0375-5681502 []
风景名胜;风景名胜;风景名胜 110200 龙潭峡风景区 尧山镇上坪村 河南省 平顶山市 鲁山县 112.336854 33.702435 0375-5786318 []
风景名胜;风景名胜;省级景点 110203 好运谷 尧山镇四道河村 河南省 平顶山市 鲁山县 112.342767 33.781934 0375-5784888;0375-5784418 []
风景名胜;公园广场;城市广场 110105 鹰城广场 长青路中段 河南省 平顶山市 新华区 113.288982 33.740055 [] []
风景名胜;风景名胜相关;旅游景点 110000 钟楼 中大街 河南省 平顶山市 汝州市 112.849229 34.161475 [] []
风景名胜;公园广场;植物园 110103 平顶山市植物园 湛河南路72号 河南省 平顶山市 湛河区 113.296757 33.727032 0375-4960014 []
风景名胜;风景名胜;国家级景点 110202 二郎山 石漫滩水库南岸 河南省 平顶山市 舞钢市 113.56675 33.260672 0375-8185898 []
风景名胜;风景名胜;教堂 110206 基督教堂 329省道 河南省 平顶山市 宝丰县 112.940018 33.907582 [] []
