type typecode name_p address province city area lat lng telephone tag
住宿服务;宾馆酒店;四星级宾馆 100103 神马大酒店 建设西路北1号 河南省 平顶山市 新华区 113.297612 33.738 0375-2800666;0375-2800888 []
住宿服务;宾馆酒店;三星级宾馆 100104 中天大酒店 鲁平大道(南环路)新公安局东50米路北 河南省 平顶山市 鲁山县 112.925495 33.736605 0375-3379999;0375-2270688 []
住宿服务;宾馆酒店;四星级宾馆 100103 平顶山宾馆 迎宾路中段2号 河南省 平顶山市 新华区 113.297627 33.739439 0375-2345688;0375-2345678 []
住宿服务;宾馆酒店;四星级宾馆 100103 玉京温泉度假酒店 下汤镇 河南省 平顶山市 鲁山县 112.690464 33.717388 0375-5668888;0375-7370866 []
住宿服务;宾馆酒店;五星级宾馆 100102 蕴海锦园大酒店 长安大道与怀仁路交叉口(近市政大楼) 河南省 平顶山市 新华区 113.189047 33.761643 0375-2638113;0375-2638166;0375-2638888 []
住宿服务;宾馆酒店;四星级宾馆 100103 舞钢大酒店 湖滨大道东段 河南省 平顶山市 舞钢市 113.526732 33.279912 0375-8116999 []
住宿服务;宾馆酒店;五星级宾馆 100102 佳田国际大酒店 建设路与中兴路交汇处 河南省 平顶山市 新华区 113.306629 33.736239 0375-2699999;0375-2698100 []
住宿服务;宾馆酒店;宾馆酒店 100100 物资宾馆(矿工路店) 矿工路中段184号(矿工路与劳动路交叉口东300米路北) 河南省 平顶山市 卫东区 113.317637 33.744168 0375-3836622;0375-3838618 []
住宿服务;宾馆酒店;四星级宾馆 100103 平安大厦 民主路2号 河南省 平顶山市 新华区 113.305914 33.746504 0375-2788888;0375-2788558;0375-2788893 []
住宿服务;宾馆酒店;四星级宾馆 100103 豫达未来大酒店 长安大道与和谐路交叉口 河南省 平顶山市 新华区 113.201216 33.763859 0375-2618888 []
住宿服务;宾馆酒店;宾馆酒店 100100 金沙湾大酒店 中兴北路西5号 河南省 平顶山市 新华区 113.306464 33.742447 0375-2346001;0375-2346002 []
住宿服务;宾馆酒店;宾馆酒店 100100 宝丰宾馆(南关大街) 南大街47号 河南省 平顶山市 宝丰县 113.067562 33.869390 0375-6500000;0375-6376666 []
住宿服务;宾馆酒店;宾馆酒店 100100 美宜家商务酒店(汝州朝阳路店) 朝阳中路128号 河南省 平顶山市 汝州市 112.849940 34.179589 0375-6688555 []
住宿服务;宾馆酒店;宾馆酒店 100100 昆仑乐居商务酒店(鲁山店) 花园路与泰山路交叉口南100米 河南省 平顶山市 鲁山县 112.921332 33.738040 0375-5672999;4006656999 []
住宿服务;宾馆酒店;宾馆酒店 100100 香山大酒店(中兴路) 中兴路北段55号 河南省 平顶山市 新华区 113.307078 33.743402 0375-2882366;0375-2368888 []
住宿服务;宾馆酒店;宾馆酒店 100100 电力宾馆(迎宾大道) 迎宾大道38号院 河南省 平顶山市 宝丰县 113.073590 33.859886 0375-6580888;0375-6580999 []
住宿服务;宾馆酒店;经济型连锁酒店 100105 尚客优精选酒店(平顶山老汽车站店) 矿工路中段老汽车站向东30米路北 河南省 平顶山市 卫东区 113.327389 33.740703 0375-2376777 []
住宿服务;宾馆酒店;五星级宾馆 100102 地中海假日酒店 湛河北路与凌云路交汇处 河南省 平顶山市 湛河区 113.281848 33.733397 [] []
住宿服务;宾馆酒店;宾馆酒店 100100 天润大酒店(体育路) 平顶山体育路与平安大道交叉口正北 河南省 平顶山市 新华区 113.304444 33.750280 0375-2869800;0375-2869866 []
住宿服务;宾馆酒店;宾馆酒店 100100 叶县宾馆 九龙路1号 河南省 平顶山市 叶县 113.358714 33.626734 0375-8058168;0375-8097168 []
住宿服务;宾馆酒店;四星级宾馆 100103 神马大酒店 建设西路北1号 河南省 平顶山市 新华区 113.297612 33.738 0375-2800666;0375-2800888 []
住宿服务;宾馆酒店;三星级宾馆 100104 中天大酒店 鲁平大道(南环路)新公安局东50米路北 河南省 平顶山市 鲁山县 112.925495 33.736605 0375-3379999;0375-2270688 []
住宿服务;宾馆酒店;四星级宾馆 100103 平顶山宾馆 迎宾路中段2号 河南省 平顶山市 新华区 113.297627 33.739439 0375-2345688;0375-2345678 []
住宿服务;宾馆酒店;四星级宾馆 100103 玉京温泉度假酒店 下汤镇 河南省 平顶山市 鲁山县 112.690464 33.717388 0375-5668888;0375-7370866 []
住宿服务;宾馆酒店;五星级宾馆 100102 蕴海锦园大酒店 长安大道与怀仁路交叉口(近市政大楼) 河南省 平顶山市 新华区 113.189047 33.761643 0375-2638113;0375-2638166;0375-2638888 []
住宿服务;宾馆酒店;四星级宾馆 100103 舞钢大酒店 湖滨大道东段 河南省 平顶山市 舞钢市 113.526732 33.279912 0375-8116999 []
住宿服务;宾馆酒店;五星级宾馆 100102 佳田国际大酒店 建设路与中兴路交汇处 河南省 平顶山市 新华区 113.306629 33.736239 0375-2699999;0375-2698100 []
住宿服务;宾馆酒店;宾馆酒店 100100 物资宾馆(矿工路店) 矿工路中段184号(矿工路与劳动路交叉口东300米路北) 河南省 平顶山市 卫东区 113.317637 33.744168 0375-3836622;0375-3838618 []
住宿服务;宾馆酒店;四星级宾馆 100103 平安大厦 民主路2号 河南省 平顶山市 新华区 113.305914 33.746504 0375-2788888;0375-2788558;0375-2788893 []
住宿服务;宾馆酒店;四星级宾馆 100103 豫达未来大酒店 长安大道与和谐路交叉口 河南省 平顶山市 新华区 113.201216 33.763859 0375-2618888 []
