type typecode name_p address province city area lat lng telephone tag
体育休闲服务;运动场馆;综合体育馆 080101 平顶山市体育村 建设路865号 河南省 平顶山市 卫东区 113.340889 33.731331 [] []
体育休闲服务;影剧院;剧场 080603 汝州剧院 望嵩中路138号 河南省 平顶山市 汝州市 112.840788 34.164170 0375-6862948 []
体育休闲服务;娱乐场所;网吧 080308 矿工路天空网吧 矿工路东段总机场站牌路北 河南省 平顶山市 卫东区 113.347295 33.740837 18837515151 []
体育休闲服务;娱乐场所;KTV 080302 同一首歌(朝歌店) 体育路工人文化宫东门 河南省 平顶山市 新华区 113.303090 33.740278 0375-7666666 []
体育休闲服务;运动场馆;游泳馆 080110 矿工游泳馆 平安大道中段中平能化铁运处友谊街小区6号楼6号 河南省 平顶山市 新华区 113.301890 33.748964 [] []
体育休闲服务;影剧院;电影院 080601 奥斯卡国际影城(联盟路店) 体育路与联盟路交叉口处 河南省 平顶山市 新华区 113.303091 33.742309 0375-2356789;0375-6199299 []
体育休闲服务;娱乐场所;酒吧 080304 88酒吧(鹰城店) 中兴路与建设路交叉口向北50米 河南省 平顶山市 新华区 113.306423 33.738374 0375-5255555;13663755583 []
体育休闲服务;娱乐场所;酒吧 080304 热度慢摇酒吧 体育路与矿工路交叉口东南50米 河南省 平顶山市 新华区 113.304059 33.744524 0375-2700000 []
体育休闲服务;娱乐场所;KTV 080302 一江春水(湛北路店) 湛河北路与光明路交叉口向西50米路南 河南省 平顶山市 新华区 113.291462 33.731055 0375-2225889 []
体育休闲服务;娱乐场所;网吧 080308 紫竹林 楝香街38附3 河南省 平顶山市 卫东区 113.325749 33.736392 0375-2267188 []
体育休闲服务;休闲场所;休闲场所 080500 吉利庄园 东滍村 河南省 平顶山市 新华区 113.151258 33.765515 0375-2261999;0375-2059088 []
体育休闲服务;娱乐场所;网吧 080308 新世纪(五一路) 五一路瑞恒印刷公司附近(五一佳居附近) 河南省 平顶山市 卫东区 113.311742 33.746341 [] []
体育休闲服务;休闲场所;垂钓园 080502 锦国庄园 西环路附近 河南省 平顶山市 新华区 113.245812 33.757032 [] []
体育休闲服务;娱乐场所;网吧 080308 九度空间网吧(湛河南路) 湛河南路平顶山高级技工学校 河南省 平顶山市 湛河区 113.327913 33.726579 13137500789 []
体育休闲服务;休闲场所;休闲场所 080500 在水一方红烧鹅 湖滨路奇美果园西100米 河南省 平顶山市 新华区 113.219070 33.735260 13782479056 红烧鹅,农家熬炒鸡
体育休闲服务;娱乐场所;网吧 080308 新天地网吧(园丁路) 园丁路3附3号 河南省 平顶山市 卫东区 113.312167 33.732944 15038801698 []
