type typecode name_p address province city area lat lng telephone tag
风景名胜;公园广场;城市广场 110105 鹰城广场 长青路中段 河南省 平顶山市 新华区 113.288982 33.740055 [] []
风景名胜;公园广场;植物园 110103 平顶山市植物园 湛河南路72号 河南省 平顶山市 湛河区 113.296757 33.727032 0375-4960014 []
风景名胜;风景名胜;风景名胜 110200 叶县县衙 东大街9 河南省 平顶山市 叶县 113.351065 33.621321 0375-3436888 []
风景名胜;风景名胜;国家级景点 110202 尧山风景区 尧山镇西竹园村 河南省 平顶山市 鲁山县 112.307785 33.708246 0375-5791123;0375-5767999 []
风景名胜;风景名胜;国家级景点 110202 画眉谷 尧山镇四道河村 河南省 平顶山市 鲁山县 112.309941 33.797126 [] []
风景名胜;公园广场;城市广场 110105 河滨广场 南环路中段77号 河南省 平顶山市 湛河区 113.295545 33.722833 [] []
风景名胜;风景名胜;省级景点 110203 昭平湖景区 昭平台库区乡 河南省 平顶山市 鲁山县 112.750412 33.741496 [] []
风景名胜;风景名胜;国家级景点 110202 二郎山 石漫滩水库南岸 河南省 平顶山市 舞钢市 113.56675 33.260672 0375-8185898 []
风景名胜;风景名胜;省级景点 110203 怪坡风景区 骑岭乡风穴寺国家森林公园内 河南省 平顶山市 汝州市 112.910921 34.244409 0375-6971866 []
风景名胜;风景名胜;国家级景点 110202 鲁山航空展览馆 陈楼村南侧 河南省 平顶山市 鲁山县 112.889130 33.668817 [] []
风景名胜;风景名胜;风景名胜 110200 金牛山风景石榴园 北环路金牛山 河南省 平顶山市 卫东区 113.374422 33.779374 [] []
风景名胜;风景名胜;省级景点 110203 三苏坟 茨芭镇苏坟村 河南省 平顶山市 郏县 113.098860 34.078329 [] []
交通设施服务;公交车站;公交车站相关 150700 开建路口(公交站) 7路;8路;9路;15路;19路;29路;42路内环;42路外环 河南省 平顶山市 新华区 113.309013 33.735321 [] []
交通设施服务;公交车站;公交车站相关 150700 绢纺厂(公交站) 1路;2路;3路;4路;11路;14路;15路;20路;24路;31路;67路;601路夜班;603路夜班;Y602路 河南省 平顶山市 新华区 113.305923 33.735313 [] []
