type typecode name_p address province city area lat lng telephone tag
汽车维修;汽车维修;汽车维修 030000 汽车电器空调马达发电 241省道东50米 河南省 平顶山市 汝州市 112.919536 34.052895 [] []
汽车维修;汽车综合维修;汽车综合维修 030100 鹏辉修理厂 241省道西50米 河南省 平顶山市 汝州市 112.919511 34.052591 [] []
汽车维修;汽车维修;汽车维修 030000 重汽修配 241省道西50米 河南省 平顶山市 汝州市 112.918931 34.053187 15837508050 []
汽车维修;汽车综合维修;汽车综合维修 030100 信和汽修汽配 241省道东50米 河南省 平顶山市 汝州市 112.918943 34.053793 [] []
汽车维修;汽车维修;汽车维修 030000 水箱油箱焊铜焊铝 裕民路272号附近 河南省 平顶山市 宝丰县 113.050861 33.864842 [] []
汽车维修;汽车维修;汽车维修 030000 车保姆钣金喷漆 城关镇西环路北段苗路口向北50米路西 河南省 平顶山市 宝丰县 113.051103 33.871908 13938663351 []
汽车维修;汽车综合维修;汽车综合维修 030100 达轿车维修 大观堂街与文化大道交叉口西50米 河南省 平顶山市 郏县 113.220175 33.963700 [] []
汽车维修;汽车维修;汽车维修 030000 陆安达汽修厂 环城路汇通加油站北200米 河南省 平顶山市 叶县 113.378611 33.629646 [] []
汽车服务;汽车服务相关;汽车服务相关|汽车维修;汽车维修;汽车维修 010000|030000 战锋汽车俱乐部服务站(战锋店) 文化大道309号附近 河南省 平顶山市 郏县 113.215479 33.964379 0375-5117518;13461111280 []
汽车维修;汽车维修;汽车维修 030000 东东轿车维修 文化大道与文化路交叉口东南50米 河南省 平顶山市 郏县 113.206860 33.965077 15660595176 []
汽车维修;汽车维修;汽车维修 030000 修车补胎 002乡道东50米 河南省 平顶山市 鲁山县 113.181978 33.649552 [] []
汽车维修;汽车维修;汽车维修 030000 参义专业扳金喷漆 207国道与241省道交叉口东南200米 河南省 平顶山市 汝州市 112.918528 34.054313 [] []
汽车维修;汽车维修;汽车维修 030000 畅通轿车维修装饰 杨庄镇西环路与南环路交叉口南500米集资货场对面 河南省 平顶山市 宝丰县 113.050260 33.859967 15038822661 []
汽车维修;汽车维修;汽车维修 030000 515机油汽车快修 北环路龙湖洗浴对面 河南省 平顶山市 郏县 113.230456 33.980408 15136951951;15837563396 []
汽车服务;汽车服务相关;汽车服务相关 010000 风炮补胎 234省道东50米 河南省 平顶山市 叶县 113.258030 33.660872 13849556921 []
汽车维修;汽车维修;汽车维修 030000 中国和谐快修 建设路街道开发二路与建设路交叉口东800米路北宜东汽车城 河南省 平顶山市 卫东区 113.381125 33.734120 [] []
汽车维修;汽车维修;汽车维修 030000 龙鑫汽修 煤山街道河南省汝州市园艺场 河南省 平顶山市 汝州市 112.783047 34.188334 [] []
汽车维修;汽车维修;汽车维修 030000 远征汽车修配 眉山大道南50米 河南省 平顶山市 郏县 113.185924 33.981951 [] []
汽车维修;汽车综合维修;汽车综合维修 030100 云飞汽车修配 兴华路57号附近 河南省 平顶山市 宝丰县 113.051069 33.872547 15639979599 []
汽车维修;汽车维修;汽车维修 030000 鸿润现代汽修 311国道东50米 河南省 平顶山市 叶县 113.364105 33.638915 13071717059;15537533559 []
汽车维修;汽车维修;汽车维修 030000 汽车电器空调马达发电 241省道东50米 河南省 平顶山市 汝州市 112.919536 34.052895 [] []
汽车维修;汽车综合维修;汽车综合维修 030100 鹏辉修理厂 241省道西50米 河南省 平顶山市 汝州市 112.919511 34.052591 [] []
汽车维修;汽车维修;汽车维修 030000 重汽修配 241省道西50米 河南省 平顶山市 汝州市 112.918931 34.053187 15837508050 []
汽车维修;汽车综合维修;汽车综合维修 030100 信和汽修汽配 241省道东50米 河南省 平顶山市 汝州市 112.918943 34.053793 [] []
汽车维修;汽车维修;汽车维修 030000 水箱油箱焊铜焊铝 裕民路272号附近 河南省 平顶山市 宝丰县 113.050861 33.864842 [] []
汽车维修;汽车维修;汽车维修 030000 车保姆钣金喷漆 城关镇西环路北段苗路口向北50米路西 河南省 平顶山市 宝丰县 113.051103 33.871908 13938663351 []
汽车维修;汽车综合维修;汽车综合维修 030100 达轿车维修 大观堂街与文化大道交叉口西50米 河南省 平顶山市 郏县 113.220175 33.963700 [] []
汽车维修;汽车维修;汽车维修 030000 陆安达汽修厂 环城路汇通加油站北200米 河南省 平顶山市 叶县 113.378611 33.629646 [] []
汽车服务;汽车服务相关;汽车服务相关|汽车维修;汽车维修;汽车维修 010000|030000 战锋汽车俱乐部服务站(战锋店) 文化大道309号附近 河南省 平顶山市 郏县 113.215479 33.964379 0375-5117518;13461111280 []
汽车维修;汽车维修;汽车维修 030000 东东轿车维修 文化大道与文化路交叉口东南50米 河南省 平顶山市 郏县 113.206860 33.965077 15660595176 []
汽车维修;汽车维修;汽车维修 030000 修车补胎 002乡道东50米 河南省 平顶山市 鲁山县 113.181978 33.649552 [] []
汽车维修;汽车维修;汽车维修 030000 参义专业扳金喷漆 207国道与241省道交叉口东南200米 河南省 平顶山市 汝州市 112.918528 34.054313 [] []
汽车维修;汽车维修;汽车维修 030000 畅通轿车维修装饰 杨庄镇西环路与南环路交叉口南500米集资货场对面 河南省 平顶山市 宝丰县 113.050260 33.859967 15038822661 []
汽车维修;汽车维修;汽车维修 030000 515机油汽车快修 北环路龙湖洗浴对面 河南省 平顶山市 郏县 113.230456 33.980408 15136951951;15837563396 []
汽车服务;汽车服务相关;汽车服务相关 010000 风炮补胎 234省道东50米 河南省 平顶山市 叶县 113.258030 33.660872 13849556921 []
汽车维修;汽车维修;汽车维修 030000 中国和谐快修 建设路街道开发二路与建设路交叉口东800米路北宜东汽车城 河南省 平顶山市 卫东区 113.381125 33.734120 [] []
汽车维修;汽车维修;汽车维修 030000 龙鑫汽修 煤山街道河南省汝州市园艺场 河南省 平顶山市 汝州市 112.783047 34.188334 [] []
汽车维修;汽车维修;汽车维修 030000 远征汽车修配 眉山大道南50米 河南省 平顶山市 郏县 113.185924 33.981951 [] []
汽车维修;汽车综合维修;汽车综合维修 030100 云飞汽车修配 兴华路57号附近 河南省 平顶山市 宝丰县 113.051069 33.872547 15639979599 []
汽车维修;汽车维修;汽车维修 030000 鸿润现代汽修 311国道东50米 河南省 平顶山市 叶县 113.364105 33.638915 13071717059;15537533559 []
汽车维修;汽车综合维修;汽车综合维修 030100 小军汽车修理 东城街道八里营 河南省 平顶山市 郏县 113.263142 33.963652 13721881213 []
汽车维修;中国重汽维修;中国重汽维修 035200 万停重汽维修 东坡大道与020乡道交叉口东100米 河南省 平顶山市 郏县 113.261407 33.964281 [] []
汽车维修;汽车维修;汽车维修 030000 许昌专修传动轴 东坡大道与238省道交叉口西南50米 河南省 平顶山市 郏县 113.263142 33.963652 13721874706 []
汽车维修;汽车维修;汽车维修 030000 玉亮丙银汽车钣金喷漆 东坡大道与238省道交叉口西100米 河南省 平顶山市 郏县 113.262651 33.964026 [] []
汽车维修;汽车综合维修;汽车综合维修 030100 西娃汽车修配 东坡大道与238省道交叉口东南100米 河南省 平顶山市 郏县 113.264133 33.963424 [] []
汽车维修;中国重汽维修;中国重汽维修 035200 永向重汽底盘修理 东坡大道与238省道交叉口西100米 河南省 平顶山市 郏县 113.262717 33.963740 [] []
汽车维修;汽车维修;汽车维修 030000 挂车修配 103省道西50米 河南省 平顶山市 叶县 113.374872 33.611847 [] []
汽车维修;汽车维修;汽车维修 030000 专业补胎 103省道西50米 河南省 平顶山市 叶县 113.375306 33.613107 15238203976 []
汽车维修;汽车维修;汽车维修 030000 小武专业钣金喷漆 311国道东50米 河南省 平顶山市 叶县 113.363384 33.637097 13383907104;15938976690 []
汽车维修;汽车维修;汽车维修 030000 卫卫重汽维修 331省道北50米 河南省 平顶山市 舞钢市 113.576167 33.328507 [] []
汽车维修;汽车维修;汽车维修 030000 建民修配中心 凤翔大道208附近 河南省 平顶山市 郏县 113.226388 33.981065 0375-5151219;13837518317 []
汽车维修;汽车综合维修;汽车综合维修 030100 军伟轿车微型车修配中心 238省道西50米 河南省 平顶山市 汝州市 112.664348 34.247547 [] []
汽车维修;汽车维修;汽车维修 030000 九三轮胎 姚电大道30号附近 河南省 平顶山市 湛河区 113.270122 33.726346 13603756193 []
汽车维修;汽车综合维修;汽车综合维修 030100 鑫豪汽修 恒大名都路口对面50米 河南省 平顶山市 湛河区 113.266432 33.728054 15836930550 []
汽车维修;汽车综合维修;汽车综合维修 030100 汇力汽车维修 焦点立交桥往北500米 河南省 平顶山市 新华区 113.244962 33.757598 0375-2211129 []
汽车维修;汽车综合维修;汽车综合维修 030100 老王修配 西环路与236省道交叉口西100米 河南省 平顶山市 新华区 113.246011 33.761518 [] []
汽车维修;汽车维修;汽车维修 030000 亚飞专业钣金喷漆 311国道北50米 河南省 平顶山市 鲁山县 112.868847 33.741700 [] []
汽车维修;汽车综合维修;汽车综合维修 030100 鑫源汽车维修 311国道北50米 河南省 平顶山市 鲁山县 112.869640 33.741699 [] []
汽车维修;汽车维修;汽车维修 030000 靓车汇钣金烤漆 新南环路与水库路交叉口东南50米 河南省 平顶山市 湛河区 113.298141 33.709266 15136969255 []
汽车维修;汽车维修;汽车维修 030000 车之保汽车服务 九里山街道南环路与双丰路交叉口北20米 河南省 平顶山市 湛河区 113.279967 33.725743 [] []
汽车维修;汽车维修;汽车维修 030000 广锋汽车电器 东环路60号附近 河南省 平顶山市 汝州市 112.864346 34.150427 15937572564 []
汽车维修;汽车综合维修;汽车综合维修 030100 飞越汽车快修快保 东环路66号 河南省 平顶山市 汝州市 112.864434 34.150992 13783233373 []
汽车维修;汽车综合维修;汽车综合维修 030100 鑫程汽车快修快保中心 东环路佳宝路口南200米路西 河南省 平顶山市 汝州市 112.864215 34.149642 13803750394 []
汽车维修;汽车维修;汽车维修 030000 长江汽修厂 103省道东50米 河南省 平顶山市 叶县 113.370060 33.602190 13949088472 []
汽车维修;通用特约维修;别克维修 030502 平顶山威佳泰通汽车销售有限公司 复兴路北侧 河南省 平顶山市 新华区 113.176003 33.784470 0375-6103333;0375-6160000;0375-6177728 []
汽车销售;东风货车销售;东风货车销售|汽车维修;东风货车维修;东风货车维修 025100|035100 东风商用车4S店(平顶山三兄弟店) 311国道 河南省 平顶山市 叶县 113.417932 33.720637 0375-3859388 []
汽车维修;汽车维修;汽车维修 030000 亚洲汽修 薛西村 河南省 平顶山市 新华区 113.135586 33.788978 15993599925 []
汽车维修;汽车综合维修;汽车综合维修 030100 中国一汽特约维修服务中心 天成水果综合市场(西环路口)北150米 河南省 平顶山市 新华区 113.244659 33.756823 [] []
汽车维修;汽车综合维修;汽车综合维修 030100 浩志汽车维修服务中心 建设路南50米 河南省 平顶山市 舞钢市 113.527403 33.332663 13733770515 []
汽车维修;汽车综合维修;汽车综合维修 030100 一站式轿车维修 广成西路南50米 河南省 平顶山市 汝州市 112.781951 34.188970 [] []
汽车维修;汽车维修;汽车维修 030000 举峰液压专修前顶缸 广成西路南50米 河南省 平顶山市 汝州市 112.778495 34.189740 [] []
汽车维修;汽车维修;汽车维修 030000 风炮补胎 广成西路南50米 河南省 平顶山市 汝州市 112.771942 34.191136 [] []
汽车维修;汽车综合维修;汽车综合维修 030100 骏达车辆售后服务 广成西路北50米 河南省 平顶山市 汝州市 112.765899 34.192870 [] []
汽车维修;汽车维修;汽车维修 030000 向阳修前顶缸 广成西路南50米 河南省 平顶山市 汝州市 112.785618 34.188092 [] []
汽车维修;汽车维修;汽车维修 030000 风炮补胎 东环路20号附近 河南省 平顶山市 汝州市 112.863912 34.148803 15037503687 []
汽车维修;汽车维修;汽车维修 030000 汽车修配 东环路38号附近 河南省 平顶山市 汝州市 112.864127 34.149785 13937582003 []
