type typecode name_p address province city area lat lng telephone tag
餐饮服务;快餐厅;肯德基 050301 肯德基(双丰店) 光曙路口双丰商城1层 河南省 平顶山市 新华区 113.292080 33.733025 0375-2268777;4009200715 香辣鸡腿堡,甜筒,奥尔良鸡翅,圣代,雪顶咖啡,新奥尔良烤翅,香辣鸡柳饭,新奥尔良烤鸡腿堡,日式咖喱鸡饭,汉堡,芋圆冰淇淋
餐饮服务;快餐厅;肯德基 050301 肯德基(中兴店) 中兴北路30号金三角一楼 河南省 平顶山市 新华区 113.306807 33.740787 0375-2910088;0375-7028628 香辣鸡腿堡,新奥尔良烤翅,甜筒,雪顶咖啡,香辣鸡柳饭,日式咖喱鸡饭,汉堡,新奥尔良烤鸡腿堡,芋圆冰淇淋,圣代,奥尔良鸡翅
餐饮服务;快餐厅;麦当劳 050302 麦当劳(平顶山中原店) 开源路20号中原商场1层 河南省 平顶山市 卫东区 113.309813 33.739994 0375-2918188 麦乐酷,麦旋风,圣代,芝香猪排堡,鱼小鲜,麦辣鸡腿堡,麦辣鸡翅,大鸡排,新地,苹果片,抹茶冰淇淋
餐饮服务;快餐厅;肯德基 050301 肯德基(体育店) 体育路(文化宫东门) 河南省 平顶山市 新华区 113.303146 33.740880 0375-2992996;0375-2996668;4009200715 手撕猪肉堡,根骨肉相连加,香辣鸡腿堡,香辣鸡翅,红豆派,醇香土豆泥,老北京卷土豆泥餐,香甜粟米棒,芙蓉荟蔬汤,劲爆鸡米花,醇豆浆,九珍果汁饮料,黄金鸡块,香浓玉米饮,爆爆珠薏仁马蹄饮,劲脆鸡腿堡,五味小吃桶,香醇奶茶,新奥尔良烤翅,葡式蛋挞,红豆圆奶茶,香脆海苔虾,伴鸡伴虾堡,辣堡套餐,日式咖喱鸡饭
餐饮服务;中餐厅;中餐厅 050100 一品渝香干锅鸭头(平顶山总店) 矿工路与东安路交叉口西30米路北(电厂家属院斜对面) 河南省 平顶山市 卫东区 113.335970 33.740738 0375-3901688;0375-3688988 鸭脖,鸭胗,鸭肠,鸭头pk虾,鲜藕片,香菇,风味培根,菜花,罗汉笋,精品锅,梅林午餐肉,木耳,开花肠,干锅鸭头,干锅辣虾欢,千页豆腐,精品羊肉,大丰收,精品鸭头
餐饮服务;中餐厅;火锅店 050117 百年老妈(舞钢店) 垭口坡路3号 河南省 平顶山市 舞钢市 113.528379 33.293638 0375-8168111 手工面,海鲜料,午餐肉,虾滑,包心鱼丸,川粉,潮州牛肉丸,澳洲上岛肥牛,红焖熟羊排,蔬菜小拼,豆制双拼,仔排煲,山药,年糕,明虾煲,杂粮面,牛蛙煲,玉米,红薯条,莲菜,鸡爪,鸡翅煲,丸类小拼,卡特鱼卷,红焖熟羊肉
餐饮服务;快餐厅;快餐厅 050300 李先生(香山大厦店) 中兴路北段55号香山大厦1层 河南省 平顶山市 新华区 113.307065 33.743308 0375-2923732;13781871602 招牌牛肉面,米饭套餐,上品肥牛饭,上品肥牛饭套餐,五香花生米,八小时牛肉汤,冰粒豆,半筋半肉面,双素拼盘,咖啡,咖喱牛肉饭,咖喱牛肉饭套餐,家庭套餐,干豆腐丝,昔果乐,李先生牛肉面,李先生牛肉面卤蛋套餐,爽口土豆丝,特制酱牛肉,番茄牛肉面,番茄牛肉面卤蛋套餐,白灼油菜,紫薯香芋,红油肚丝,田园炭烧鸡肉饭
餐饮服务;中餐厅;中餐厅 050100 金玉良缘(中兴路) 中兴路华府广场1楼东侧 河南省 平顶山市 新华区 113.307249 33.744821 0375-2998677;0375-2998777 []
餐饮服务;外国餐厅;韩国料理 050203 汉丽轩自助烤涮(卫东区店) 劳动路30号附7号2层 河南省 平顶山市 卫东区 113.313645 33.740951 0375-8917999;0375-8917111 培根,五花肉,烤牛排,鱿鱼,腌牛柳,小蛋糕,花蛤,饮品,火龙果,山贝,鸡蛋羹,蛋挞,大虾,乌鸡片,麻辣烫,西瓜,秋刀鱼,鸡翅,香蕉船,豆浆,菠萝饭,提子,酸牛奶,荤菜,小吃甜点
餐饮服务;中餐厅;综合酒楼 050101 聚福楼(香榭世家店) 朝阳东路香榭世家西门 河南省 平顶山市 汝州市 112.854642 34.179842 0375-6988999 菌类大拼,蔬菜大拼,草原毛肚,自制鲜牛肉丸,自制小酥肉,羊蝎子,羊排,精品手切羊肉,秘制肥牛,一品羊肉卷,丸子组合,一品虾滑
餐饮服务;中餐厅;中餐厅 050100 一家亲妈妈菜(湛河北路) 湛北路东段恒丰公寓1号楼西1单元西户 河南省 平顶山市 湛河区 113.332326 33.729703 0375-7386669;0375-7385669 酸辣肚丝汤,养生老豆腐,水煮肉片,重庆毛血旺,炝锅面,沾汁豆腐,蛋炒饭,香菜木耳
餐饮服务;中餐厅;清真菜馆 050121 伊斯兰宴宾楼 复兴路128号 河南省 平顶山市 郏县 113.234122 33.964010 0375-5157666 茶树菇焗牛肚,红烧腰花,酸菜龙利鱼,垛子羊肉,蛋酥一品香
餐饮服务;中餐厅;中餐厅 050100 道口烧鸡(鲁山店) 技工学校东侧 河南省 平顶山市 鲁山县 112.927913 33.751459 15937563620;13461167810 []
餐饮服务;中餐厅;中餐厅 050100 一家人饭店(叶县城关乡卫生院南) 昆阳大道156号 河南省 平顶山市 叶县 113.354098 33.612424 13837519741 香辣羊肺,捞烩面,黄瓜变蛋,麻辣鱼,鱼香肉丝,香菜木耳,香菇青菜,韭菜千张,锅仔肥肠,锅仔羊肺,锅仔羊肉,锅仔土豆片,酸菜鱼片汤,肉丝清汤,美味海带头,红油耳丝,番茄炒蛋,水煮肉片,毛血旺,小苏肉炖粉,家常豆腐,宫爆鸡丁,大盘鸡,凉拌猪心,五香花生米
餐饮服务;中餐厅;清真菜馆 050121 伊斯兰餐馆(滨河社区卫生服务站东南) 朱兰大道与矿山四街交叉口东北50米 河南省 平顶山市 舞钢市 113.536483 33.324919 13523276797 胡辣汤
